selskap,Nullpunkt,Diff
Andre,0,0.977776421
Andre,0,-0.571428571
Andre,0,-0.950000763
Andre,0,-0.767567609
Andre,0,0
Andre,0,-1.200000763
Andre,0,-0.800000872
Andre,0,-1.207998657
Andre,0,-1.695999146
Andre,0,-0.083332062
Andre,0,-0.600000381
Andre,0,-0.615384029
Andre,0,-0.700000763
Andre,0,-1.666666667
Andre,0,-1.75
Andre,0,-1.234470367
Andre,0,-1.357917786
Andre,0,-0.815382737
Andre,0,-1.23999939
Andre,0,-1.661536584
Andre,0,-0.285714286
Andre,0,-0.474360539
Andre,0,-0.61363567
Andre,0,-0.772725886
Andre,0,-1.075000763
Andre,0,-1.162790698
Andre,0,-1.321429298
Eiendom,0,-0.260868902
Eiendom,0,-0.285714286
Eiendom,0,-0.909090909
Eiendom,0,-1.217392631
Eiendom,0,-1.333334787
Eiendom,0,-1.5
Eiendom,0,-0.25
Eiendom,0,-0.909090909
Eiendom,0,-2.227273421
Eiendom,0,-0.533333333
Eiendom,0,-0.54399821
Eiendom,0,-0.8
Eiendom,0,-0.933333333
Eiendom,0,-1.066666667
Eiendom,0,-1.066666667
Eiendom,0,-1.066666667
Eiendom,0,-1.066666667
Eiendom,0,-1.119999186
Eiendom,0,-1.2
Eiendom,0,-0.105261552
Eiendom,0,-0.400001526
Eiendom,0,-0.649999619
Eiendom,0,-0.750001272
Eiendom,0,-0.777778625
Eiendom,0,-1.16000061
Energi,0,-0.132639071
Energi,0,-0.254523514
Energi,0,-0.589383439
Energi,0,-0.922552114
Energi,0,-1.096034282
Energi,0,-2.301324613
Energi,0,-3.003005415
Energi,0,-3.893019815
Energi,0,-4.417215004
Energi,0,-0.255754232
Energi,0,-0.323122657
Energi,0,-0.422703471
Energi,0,-0.606207565
Energi,0,-0.768321062
Energi,0,-1.301005773
Energi,0,-0.949997902
Energi,0,-1.800003052
Energi,0,1.120617842
Energi,0,0.659485601
Energi,0,0.612714367
Energi,0,0.556818029
Energi,0,-0.103566334
Energi,0,-1.059424299
Energi,0,-1.086091892
Energi,0,-1.347367136
Energi,0,-1.384159978
Energi,0,-1.615074024
Energi,0,-3.6229818
Energi,0,-1.025640048
Energi,0,-1.408450704
Energi,0,-2.947371633
Finans,0,-0.764705153
Finans,0,-0.820000648
Finans,0,-1.079999924
Finans,0,0.66666921
Finans,0,-0.466666751
Finans,0,-0.799999237
Finans,0,-0.854543975
Finans,0,-1.000002142
Finans,0,-1.76056338
Finans,0,-0.897059721
Finans,0,-1.309859585
Finans,0,-1.535210408
Finans,0,-0.499000549
Finans,0,-0.712857928
Finans,0,-1.185126305
Finans,0,1.166666667
Finans,0,-0.400004069
Finans,0,-0.742854527
Finans,0,-0.855555216
Finans,0,-0.988234576
Finans,0,-1.222222222
Finans,0,-0.65599823
Finans,0,-0.773333232
Finans,0,-1.16128983
Finans,0,0
Finans,0,-1.000000636
Finans,0,-1.076924251
Finans,0,0.285714286
Finans,0,-0.8
Finans,0,-1.052631579
Industri,0,0
Industri,0,-1.351351351
Industri,0,-0.571428571
Industri,0,-0.714285714
Industri,0,-0.8
Industri,0,-0.8
Industri,0,-1
Industri,0,-4
Industri,0,0
Industri,0,-0.5
Industri,0,-0.533335368
Industri,0,-0.799997965
Industri,0,-0.800003052
Industri,0,-1.666666667
Industri,0,-0.625
Industri,0,-0.900001526
Industri,0,-2.25
Industri,0,-0.320001602
Industri,0,-0.727272034
Industri,0,-1.025002003
Industri,0,0.320001221
Industri,0,-0.926670329
Industri,0,-1.158341471
Industri,0,-1
Industri,0,-1.066668193
Industri,0,-1.199999491
Industri,0,-2
Industri,0,-4
Industri,0,0.666666667
Industri,0,0.199999491
Industri,0,-0.933333238
Industri,0,-0.262179801
Industri,0,-0.455996352
Industri,0,-0.482043866
Industri,0,-0.692624314
Industri,0,-1.163331782
Industri,0,-1.512428844
Industri,0,-0.119047619
Industri,0,-0.444444444
Industri,0,-4.08510898
Industri,0,-0.666666667
Industri,0,-1.019999695
Industri,0,-1.36000061
Industri,0,0.6
Industri,0,-1.142857143
Industri,0,-1.428571429
Industri,0,-2
Industri,0,-3.4
Industri,0,0
Industri,0,-0.4
Industri,0,-1.428571429
Industri,0,-1.857142857
Industri,0,-3
IT,0,0.240001678
IT,0,-0.400001526
IT,0,-0.440000534
IT,0,-1.266667048
IT,0,-1.444445716
IT,0,-1.799995422
IT,0,-2.418762207
IT,0,-1.199996948
IT,0,-1.266313825
IT,0,-0.399999619
IT,0,-0.63999939
IT,0,-1.100000381
IT,0,-1.272726926
IT,0,-0.625
IT,0,-0.933333079
Konsumvarer,0,-0.185714722
Konsumvarer,0,-1.5
Konsumvarer,0,-2.392856053
Konsumvarer,0,-0.300037891
Konsumvarer,0,-0.915002305
Konsumvarer,0,-1.40363881
Konsumvarer,0,0.449996948
Konsumvarer,0,0.050003052
Konsumvarer,0,-0.799999237
Konsumvarer,0,-0.875
Konsumvarer,0,-1.183331807
Konsumvarer,0,-3.099998474
Konsumvarer,0,-0.093332926
Konsumvarer,0,-0.124615596
Konsumvarer,0,-0.38999939
Konsumvarer,0,1.442307692
Konsumvarer,0,1.384617732
Konsumvarer,0,0.576923077
Konsumvarer,0,0.288461538
Konsumvarer,0,0.153843806
Konsumvarer,0,-0.461537288
Konsumvarer,0,-0.749998826
Konsumvarer,0,-2.423078097
Konsumvarer,0,-0.897401509
Konsumvarer,0,-2.411202325
Konsumvarer,0,-0.830770639
Konsumvarer,0,-0.879998779
Konsumvarer,0,-0.942306519
Konsumvarer,0,-1.084615267
Konsumvarer,0,-0.726315147
Konsumvarer,0,-0.760869565
Konsumvarer,0,-0.958333333
